"company","model","script","path","ok","error"
"alibaba","qwen3-max-preview","01.R","bench/alibaba/qwen3-max-preview/01.R",true,
"alibaba","qwen3-max-preview","02.R","bench/alibaba/qwen3-max-preview/02.R",false,"Error in f[obstacle, opp_i]: incorrect number of dimensions
"
"alibaba","qwen3-max-preview","03.R","bench/alibaba/qwen3-max-preview/03.R",false,"Error in A[i + 1, j]: incorrect number of dimensions
"
"alibaba","qwen3-max-preview","04.R","bench/alibaba/qwen3-max-preview/04.R",false,"Error in rayshader::plot_3d(height_matrix = height_matrix, width = Lx, : unused arguments (height_matrix = height_matrix, width = Lx)
"
"alibaba","qwen3-max-preview","05.R","bench/alibaba/qwen3-max-preview/05.R",false,"Error in while (residual > tol && iter < max_iter) {: missing value where TRUE/FALSE needed
"
"anthropic","claude-opus-4-5-20251101","01.R","bench/anthropic/claude-opus-4-5-20251101/01.R",true,
"anthropic","claude-opus-4-5-20251101","02.R","bench/anthropic/claude-opus-4-5-20251101/02.R",true,
"anthropic","claude-opus-4-5-20251101","03.R","bench/anthropic/claude-opus-4-5-20251101/03.R",false,"Error in C[, 2:Ny]: incorrect number of dimensions
"
"anthropic","claude-opus-4-5-20251101","04.R","bench/anthropic/claude-opus-4-5-20251101/04.R",true,
"anthropic","claude-opus-4-5-20251101","05.R","bench/anthropic/claude-opus-4-5-20251101/05.R",false,"Error in T_field[i, j - 1]: incorrect number of dimensions
"
"baidu","ernie-5.0-preview-1022","01.R","bench/baidu/ernie-5.0-preview-1022/01.R",false,"[1m[33mError[39m in `mutate()`:[22m
[1m[22m[36mℹ[39m In argument: `t = time_vector`.
[1mCaused by error:[22m
[1m[22m[33m![39m `t` must be size 401 or 1, not 402.
"
"baidu","ernie-5.0-preview-1022","02.R","bench/baidu/ernie-5.0-preview-1022/02.R",false,"Error in f_new[i, , ] <- t(apply(f[i, , ], 1, function(row) {: replacement has length zero
"
"baidu","ernie-5.0-preview-1022","03.R","bench/baidu/ernie-5.0-preview-1022/03.R",false,"Error in U[, -N]: incorrect number of dimensions
"
"baidu","ernie-5.0-preview-1022","04.R","bench/baidu/ernie-5.0-preview-1022/04.R",false,"Error in eval(ei, envir): object 'F_h_half_shifted_left' not found
"
"baidu","ernie-5.0-preview-1022","05.R","bench/baidu/ernie-5.0-preview-1022/05.R",false,"Error in source(.x, local = TRUE): bench/baidu/ernie-5.0-preview-1022/05.R:99:68: unexpected ':'
98:   v_on_p <- 0.5 * (v[,1:(ny-1)] + v[,2:ny])
99:   du_adv <- -u_on_p * (u[2:nx,] - u[1:(nx-1),]) / dx - v_on_p * (u[:
                                                                       ^
"
"deepseek","deepseek-v3.2-exp-thinking","01.R","bench/deepseek/deepseek-v3.2-exp-thinking/01.R",true,
"deepseek","deepseek-v3.2-exp-thinking","02.R","bench/deepseek/deepseek-v3.2-exp-thinking/02.R",false,"[1m[33mError[39m in `png_dim()`:[22m
[1m[22m[33m![39m Provided file (/tmp/Rtmp7m6zbi/5775657a2d08/gganim_plot0001.png) does not exist
"
"deepseek","deepseek-v3.2-exp-thinking","03.R","bench/deepseek/deepseek-v3.2-exp-thinking/03.R",true,
"deepseek","deepseek-v3.2-exp-thinking","03b.R","bench/deepseek/deepseek-v3.2-exp-thinking/03b.R",true,
